Result,Home Team Rating,Winning Team Possession Difference %,Home Team Possession %
Away Team Win,5.8,46,27
Home Team Win,7.1,14,57
Home Team Win,6.4,-12,44
Tie,6,-6,55
Tie,6.5,8,41
Home Team Win,6.5,-18,47
Tie,6,14,39
Tie,6.6,12,47
Away Team Win,5.8,-12,46
Home Team Win,7.9,16,41
Away Team Win,6.3,-42,43
Home Team Win,7.7,-32,56
Home Team Win,7,24,44
Home Team Win,7.4,0,58
Away Team Win,6,0,71
Away Team Win,6.1,18,66
Home Team Win,10,14,62
Tie,7.3,16,65
Away Team Win,4.2,-16,50
Home Team Win,6.4,-12,50
Tie,6.2,12,37
Away Team Win,6.2,4,41
Away Team Win,6,-12,43
Home Team Win,6.9,42,58
Home Team Win,6.6,28,42
Tie,6.3,14,48
Home Team Win,6.3,-8,44
Away Team Win,5.8,-40,44
Tie,6.5,42,39
Away Team Win,5.4,12,48
Tie,6.6,0,45
Home Team Win,6.7,8,44
Tie,6.8,0,72
Home Team Win,8.4,-22,71
Away Team Win,5.8,0,36
Home Team Win,6.4,10,57
Away Team Win,6.2,30,54
Tie,5.9,26,55
Tie,6.4,6,60
Away Team Win,5.9,-8,70
Home Team Win,7.4,-16,71
Away Team Win,4.7,-12,44
Away Team Win,5.7,6,50
Away Team Win,4.5,-8,46
Tie,6,40,43
Tie,6.7,-16,45
Tie,6.8,16,40
Away Team Win,5.9,-6,50
Home Team Win,7,10,39
Away Team Win,5,-4,50
Home Team Win,6.5,-10,55
Home Team Win,6.9,-4,65
Home Team Win,8.7,32,63
Home Team Win,6.6,-22,53
Away Team Win,5.6,26,54
Tie,5,38,52
Home Team Win,6.3,2,42
Home Team Win,6.1,36,44
Home Team Win,7.2,-6,53
Home Team Win,7.6,20,46
Home Team Win,7.6,46,70
Tie,6.1,0,35
Away Team Win,5.4,6,58
Home Team Win,6.7,-12,58
Tie,6.1,24,59
Home Team Win,6.7,-18,47
Home Team Win,7,14,55
Away Team Win,5.4,-38,52
Tie,6.7,-4,57
Tie,5.8,-34,48
Away Team Win,4.8,-24,55
Away Team Win,5.5,-6,52
Tie,6.1,-4,35
Home Team Win,7.1,36,66
Home Team Win,6.8,0,39
Away Team Win,5.7,-18,37
Home Team Win,8.8,18,69
Home Team Win,7.3,10,51
Away Team Win,4.8,12,32
Tie,6.4,-4,48
Home Team Win,6.4,0,47
Home Team Win,8,26,60
Home Team Win,6.9,8,73
Tie,5.4,10,25
Tie,6.6,22,49
Home Team Win,6.8,-4,50
Home Team Win,6.8,-6,53
Home Team Win,6.6,22,44
Home Team Win,6.7,4,62
Tie,6.4,8,42
Home Team Win,7.4,14,41
Away Team Win,5.3,-10,43
Home Team Win,7,-30,31
Tie,6.4,-12,44
Away Team Win,5.1,18,52
Home Team Win,6.9,-6,33
Tie,6.6,8,65
Away Team Win,4.9,-18,62
Tie,6.9,32,43
Home Team Win,7.2,32,47
Tie,6.8,-4,56
Tie,6.5,36,44
Tie,5.9,26,46
Home Team Win,7.5,18,48
Home Team Win,10,-8,68
Home Team Win,6.1,-18,50
Tie,6.5,16,59
Away Team Win,5.5,20,59
Tie,6,-26,61
Home Team Win,7.9,-40,59
Away Team Win,5.5,20,45
Away Team Win,5.5,20,44
Away Team Win,6,16,52
Tie,6.3,16,60
Away Team Win,4.5,-4,50
Tie,5.6,-22,53
Tie,6.4,-20,46
Away Team Win,5.4,4,37
Tie,6.3,-32,44
Tie,5.9,-6,57
Home Team Win,6.8,-38,54
Tie,6.1,8,36
Away Team Win,5,20,45
Tie,7.1,24,62
Home Team Win,7.3,-20,61
Away Team Win,5,4,52
Home Team Win,7,24,47
Home Team Win,6.4,-38,61
Home Team Win,7.4,0,52
Tie,6,-6,42
Tie,6.5,-34,48
Tie,6.5,-40,77
Tie,6,-2,61
Tie,7,-24,56
Away Team Win,5.5,6,46
Home Team Win,5.7,32,57
Home Team Win,6.6,-16,45
Away Team Win,5.8,4,65
Away Team Win,4.5,-18,56
Away Team Win,5,6,41
Home Team Win,7.2,22,47
Home Team Win,8.8,20,54
Tie,6.8,12,65
Tie,5.8,16,45
Away Team Win,6.2,2,59
Away Team Win,5.2,0,34
Away Team Win,4.5,4,34
Home Team Win,6.5,6,48
Tie,6.4,-26,56
Away Team Win,4.7,16,32
