,Home Team,Away Team,Score,Half Time Score,Match Excitement,Home Team Rating,Away Team Rating,Home Team Possession %,Away Team Possession %,Home Team Off Target Shots,Home Team On Target Shots,Home Team Total Shots,Home Team Blocked Shots,Home Team Corners,Home Team Throw Ins,Home Team Pass Success %,Home Team Aerials Won,Home Team Clearances,Home Team Fouls,Home Team Yellow Cards,Home Team Second Yellow Cards,Home Team Red Cards,Away Team Off Target Shots,Away Team On Target Shots,Away Team Total Shots,Away Team Blocked Shots,Away Team Corners,Away Team Throw Ins,Away Team Pass Success %,Away Team Aerials Won,Away Team Clearances,Away Team Fouls,Away Team Yellow Cards,Away Team Second Yellow Cards,Away Team Red Cards,Home Team Goals Scored,Away Team Goals Scored,Home Team Goals Conceeded,Away Team Goals Conceeded,year,league
9936,REAL MADRID,RAYO VALLECANO,02-Oct,02-Apr,4.6,7.3,4.3,50,50,10,15,30,5,10,14,90,6,8,12,1,0,0,1,4,9,4,4,25,86,7,13,12,3,1,1,10,2,2,10,2015,spanish
2492,MAN UTD,SOUTHAMPTON,9-0,4-0,8.2,10,1.5,75,25,5,14,24,5,5,18,88,12,4,11,2,0,0,2,1,3,0,3,8,65,8,30,6,3,0,2,9,0,0,9,2020,english
4380,PSG,GUINGAMP,9-0,3-0,6.4,9.6,3.1,68,32,10,12,26,4,8,15,91,7,6,11,1,0,0,2,0,2,0,1,17,76,11,26,7,0,0,0,9,0,0,9,2018,french
9687,REAL MADRID,GRANADA,01-Sep,4-0,8.4,9.3,3.5,61,39,13,11,29,5,10,22,89,12,6,6,1,0,0,4,6,11,1,1,12,81,3,23,9,2,0,0,9,1,1,9,2014,spanish
74,SOUTHAMPTON,SUNDERLAND,8-0,3-0,6.6,9.9,1.3,53,47,9,10,21,2,5,12,82,9,32,11,1,0,0,9,1,13,3,6,19,79,21,25,8,3,0,0,8,0,0,8,2014,english
1953,MAN CITY,WATFORD,8-0,5-0,8,10,2.7,69,31,13,11,28,4,5,20,91,11,5,5,2,0,0,1,4,5,1,4,15,79,4,17,9,2,0,0,8,0,0,8,2019,english
4177,PSG,DIJON,8-0,4-0,7.1,10,2.6,69,31,4,14,22,4,9,14,90,11,6,8,0,0,0,4,1,6,1,4,14,75,4,19,16,1,0,0,8,0,0,8,2017,french
5406,BAYERN,HSV,8-0,3-0,6.7,10,2.8,71,29,4,12,18,2,4,22,90,16,6,16,0,0,0,2,1,5,2,4,15,70,8,23,11,1,0,0,8,0,0,8,2016,german
6119,WOLFSBURG,AUGSBURG,01-Aug,3-0,7.8,9.2,3.3,55,45,4,11,18,3,6,33,80,9,21,7,0,0,0,8,3,12,1,5,17,74,18,31,12,2,0,0,8,1,1,8,2018,german
6214,RB LEIPZIG,MAINZ,8-0,5-0,6.7,10,3.1,68,32,5,12,18,1,3,18,88,6,14,11,0,0,0,3,2,9,4,4,22,75,11,17,7,1,0,0,8,0,0,8,2019,german
6438,BAYERN,SCHALKE,8-0,3-0,6.7,10,2.4,63,37,6,11,21,4,9,23,89,8,6,11,1,0,0,2,1,5,2,2,15,74,6,15,11,2,0,0,8,0,0,8,2020,german
10949,BARCELONA,HUESCA,02-Aug,02-Mar,9.3,9.1,3.1,68,32,12,14,30,4,9,12,91,7,9,6,1,0,0,2,3,7,2,4,9,80,5,23,12,2,0,0,8,2,2,8,2018,spanish
1211,MAN CITY,STOKE,02-Jul,01-Mar,6.9,8.8,3.5,79,21,9,11,20,0,5,18,91,18,6,5,0,0,0,3,1,5,1,0,13,66,7,16,8,1,0,0,7,2,2,7,2017,english
2319,ASTON VILLA,LIVERPOOL,02-Jul,01-Apr,8.6,8.6,4.2,31,69,4,11,18,3,2,18,68,13,31,7,2,0,0,1,8,14,5,7,28,85,15,14,10,1,0,0,7,2,2,7,2020,english
4124,PSG,MONACO,01-Jul,01-Apr,6.7,9.4,3.9,59,41,2,7,12,3,4,11,91,7,17,8,1,0,0,4,2,11,5,2,15,85,4,11,8,3,0,0,7,1,1,7,2017,french
