Home Team,Away Team,Result,Home Team Goals Scored,Away Team Goals Scored,Home Team Possession %,Away Team Possession %,Winning Team Possession Difference %,Home Team Off Target Shots,Away Team Off Target Shots,Home Team On Target Shots,Away Team On Target Shots,Home Team Total Shots,Away Team Total Shots,Home Away Teamlocked Shots,Away Team Blocked Shots,Home Team Corners,Away Team Corners,Home Team Throw Ins,Away Team Throw Ins,Home Team Pass Success %,Away Team Pass Success %,Home Team Clearances,Away Team Clearances,Home Team Fouls,Away Team Fouls,Home Team Yellow Cards,Away Team Yellow Cards,Home Team Second Yellow Cards,Away Team Second Yellow Cards,Home Team Red Cards,Away Team Red Cards,Home Team Goals Conceeded,Away Team Goals Conceeded,year,Half Time Score,Score,Match Excitement,Home Team Rating,Away Team Rating,Home Team Aerials Won,Away Team Aerials Won
1,0,Away Team Win,0,1,27,73,46,4,12,2,3,7,21,1,6,4,11,20,30,66,85,15,22,13,14,2,1,0,0,0,0,1,0,2014,0-1,0-1,4.1,5.8,6.9,7,10
0,1,Home Team Win,2,0,57,43,14,7,5,5,4,20,10,8,1,2,0,16,22,89,83,12,25,15,17,4,4,0,0,0,0,0,2,2014,1-0,2-0,5.3,7.1,5.5,7,13
0,1,Home Team Win,3,1,44,56,-12,3,12,4,4,7,20,0,4,0,10,22,17,78,86,34,20,10,20,2,3,0,0,0,0,1,3,2014,1-0,03-Jan,6.2,6.4,5.5,20,15
2,2,Tie,0,0,55,45,,5,4,1,3,11,9,5,2,6,2,16,18,84,82,23,34,17,16,2,3,0,0,0,0,0,0,2014,0-0,0-0,2.2,6,6.6,15,16
2,2,Tie,1,1,41,59,,4,2,5,4,13,10,4,4,4,4,17,30,73,78,49,27,22,26,3,2,0,0,0,0,1,1,2014,44562,01-Jan,4.4,6.5,6.3,15,22
0,1,Home Team Win,2,0,47,53,-6,7,7,5,2,15,14,3,5,3,9,14,22,81,84,37,22,10,9,2,2,0,0,0,0,0,2,2014,0-0,2-0,4.4,6.5,5.6,20,19
2,2,Tie,0,0,39,61,,6,9,2,2,11,14,3,3,6,10,11,18,80,87,19,11,9,10,1,1,0,0,0,1,0,0,2014,0-0,0-0,3.1,6,6.4,14,14
2,2,Tie,1,1,47,53,,6,4,1,3,8,10,1,3,1,7,24,26,75,81,39,36,15,18,2,3,0,1,0,0,1,1,2014,1-0,01-Jan,4.5,6.6,6.1,18,18
1,0,Away Team Win,1,2,46,54,8,5,8,5,5,11,15,1,2,7,5,24,22,78,82,25,28,10,10,3,1,0,0,0,0,2,1,2014,44562,01-Feb,6.2,5.8,7,16,7
0,1,Home Team Win,1,0,41,59,-18,3,3,5,1,9,12,1,8,4,7,16,27,78,87,35,16,10,19,2,2,0,0,0,0,0,1,2014,1-0,1-0,3.5,7.9,4.4,9,18
1,0,Away Team Win,0,1,43,57,14,7,2,4,3,16,8,5,3,8,0,22,30,79,83,28,23,6,11,0,1,0,0,0,0,1,0,2014,0-1,0-1,3.8,6.3,6.5,18,11
0,1,Home Team Win,2,0,56,44,12,6,3,7,1,18,9,5,5,4,6,20,18,90,82,22,22,13,14,0,1,0,0,0,0,0,2,2014,1-0,2-0,4.4,7.7,5.1,12,5
0,1,Home Team Win,2,0,44,56,-12,3,7,4,0,8,8,1,1,3,5,19,17,81,84,26,14,18,17,3,4,0,0,0,0,0,2,2014,1-0,2-0,3.9,7,5.3,14,11
0,1,Home Team Win,3,0,58,42,16,6,4,6,1,17,7,5,2,7,1,20,10,88,77,18,20,26,10,3,1,0,0,0,0,0,3,2014,1-0,3-0,4.8,7.4,5.4,8,13
1,0,Away Team Win,0,1,71,29,-42,14,4,9,1,33,7,10,2,15,2,22,8,86,62,11,34,14,12,2,2,0,0,0,0,1,0,2014,0-0,0-1,4.9,6,6.3,12,9
1,0,Away Team Win,1,2,66,34,-32,7,2,9,3,19,7,3,2,7,7,31,25,85,66,14,34,14,21,4,4,0,0,0,0,2,1,2014,0-1,01-Feb,6.7,6.1,5.7,13,15
0,1,Home Team Win,7,0,62,38,24,6,9,11,2,22,13,5,2,6,1,17,20,85,78,11,21,16,12,0,1,0,0,0,1,0,7,2014,4-0,7-0,7,10,3.6,12,16
2,2,Tie,0,0,65,35,,10,4,6,1,22,6,6,1,12,3,16,22,85,69,10,36,13,18,1,4,0,1,0,0,0,0,2014,0-0,0-0,3.2,7.3,5.9,11,18
1,0,Away Team Win,4,5,50,50,0,2,3,3,8,11,12,6,1,5,4,21,13,82,84,8,22,24,12,4,2,1,1,0,0,5,4,2014,44621,04-May,10,4.2,7.7,3,8
0,1,Home Team Win,2,1,50,50,0,4,11,5,4,14,18,5,3,10,5,25,17,82,83,23,29,9,12,4,2,0,0,0,0,1,2,2014,44562,02-Jan,6,6.4,5.7,16,18
2,2,Tie,2,2,37,63,,3,6,5,5,8,17,0,6,3,7,25,33,73,82,27,29,20,9,4,1,0,0,0,0,2,2,2014,2-0,02-Feb,7.1,6.2,6.2,17,14
1,0,Away Team Win,0,1,41,59,18,4,6,3,4,10,14,3,4,3,4,14,24,79,85,20,23,9,18,2,3,0,0,0,0,1,0,2014,0-0,0-1,3.7,6.2,6.7,9,14
1,0,Away Team Win,2,3,43,57,14,3,4,4,4,10,12,3,4,4,5,27,28,75,81,25,12,17,21,1,4,0,0,0,0,3,2,2014,1-0,02-Mar,7.4,6,6.4,6,11
0,1,Home Team Win,2,0,58,42,16,3,5,3,2,7,9,1,2,0,6,18,22,89,84,13,14,16,13,1,1,0,0,0,0,0,2,2014,2-0,2-0,4,6.9,6,3,8
0,1,Home Team Win,1,0,42,58,-16,4,7,4,7,9,18,1,4,3,7,23,29,73,79,35,20,11,19,2,2,0,1,0,0,0,1,2014,0-0,1-0,4.8,6.6,6.2,15,12
2,2,Tie,0,0,48,52,,7,6,5,3,14,12,2,3,3,7,9,19,81,82,26,22,19,23,3,2,0,0,0,0,0,0,2014,0-0,0-0,2.9,6.3,6,10,12
0,1,Home Team Win,1,0,44,56,-12,4,3,3,3,9,9,2,3,0,9,29,22,73,82,37,25,12,12,1,3,0,0,0,0,0,1,2014,0-0,1-0,3.4,6.3,6.3,20,26
1,0,Away Team Win,0,1,44,56,12,13,5,6,6,24,16,5,5,4,7,28,21,81,84,22,26,10,22,1,4,0,0,0,0,1,0,2014,0-0,0-1,5,5.8,6.6,12,9
2,2,Tie,1,1,39,61,,7,8,2,3,13,13,4,2,5,2,27,30,72,82,25,31,16,9,2,4,0,0,0,0,1,1,2014,44562,01-Jan,4.6,6.5,6.1,15,13
1,0,Away Team Win,0,1,48,52,4,12,6,4,2,22,11,6,3,11,1,21,13,83,82,14,37,15,8,3,2,0,0,0,0,1,0,2014,0-0,0-1,4.3,5.4,6.6,13,12
2,2,Tie,2,2,45,55,,5,7,6,6,13,15,2,2,3,5,16,20,76,81,33,23,13,21,2,3,1,0,0,0,2,2,2014,44563,02-Feb,8,6.6,6,12,12
0,1,Home Team Win,2,0,44,56,-12,12,7,6,2,21,13,3,4,6,11,20,20,73,81,22,17,14,15,1,3,0,0,0,0,0,2,2014,1-0,2-0,5.9,6.7,5.3,21,14
2,2,Tie,0,0,72,28,,12,4,2,0,18,5,4,1,11,3,26,25,88,66,31,50,13,12,2,2,0,0,0,0,0,0,2014,0-0,0-0,2.7,6.8,5.8,34,16
0,1,Home Team Win,3,0,71,29,42,8,0,13,1,29,1,8,0,6,2,17,18,90,66,7,24,10,14,0,3,0,0,0,0,0,3,2014,1-0,3-0,5.7,8.4,4.3,15,9
