Home Team,Away Team,Result,Home Team Goals Scored,Away Team Goals Scored,Home Team Possession %,Away Team Possession %,Winning Team Possession Difference %,Home Team Off Target Shots,Away Team Off Target Shots,Home Team On Target Shots,Away Team On Target Shots,Home Team Total Shots,Away Team Total Shots,Home Team Blocked Shots,Away Team Blocked Shots,Home Team Corners,Away Team Corners,Home Team Throw Ins,Away Team Throw Ins,Home Team Pass Success %,Away Team Pass Success %,Home Team Clearances,Away Team Clearances,Home Team Fouls,Away Team Fouls,Home Team Yellow Cards,Away Team Yellow Cards,Home Team Second Yellow Cards,Away Team Second Yellow Cards,Home Team Red Cards,Away Team Red Cards,Home Team Goals Conceeded,Away Team Goals Conceeded,year,Half Time Score,Score,Match Excitement,Home Team Rating,Away Team Rating,Home Team Aerials Won,Away Team Aerials Won
0,1,Home Team,2,0,57,43,33,7,5,5,4,20,10,8,1,2,0,16,22,89,83,12,25,15,17,4,4,0,0,0,0,0,2,2014,1-0,2-0,5.3,7.1,5.5,7,13
0,1,Home Team,3,1,44,56,-21,3,12,4,4,7,20,0,4,0,10,22,17,78,86,34,20,10,20,2,3,0,0,0,0,1,3,2014,1-0,03-Jan,6.2,6.4,5.5,20,15
0,1,Home Team,2,0,47,53,-11,7,7,5,2,15,14,3,5,3,9,14,22,81,84,37,22,10,9,2,2,0,0,0,0,0,2,2014,0-0,2-0,4.4,6.5,5.6,20,19
0,1,Home Team,1,0,41,59,-31,3,3,5,1,9,12,1,8,4,7,16,27,78,87,35,16,10,19,2,2,0,0,0,0,0,1,2014,1-0,1-0,3.5,7.9,4.4,9,18
0,1,Home Team,2,0,56,44,27,6,3,7,1,18,9,5,5,4,6,20,18,90,82,22,22,13,14,0,1,0,0,0,0,0,2,2014,1-0,2-0,4.4,7.7,5.1,12,5
0,1,Home Team,2,0,44,56,-21,3,7,4,0,8,8,1,1,3,5,19,17,81,84,26,14,18,17,3,4,0,0,0,0,0,2,2014,1-0,2-0,3.9,7,5.3,14,11
0,1,Home Team,3,0,58,42,38,6,4,6,1,17,7,5,2,7,1,20,10,88,77,18,20,26,10,3,1,0,0,0,0,0,3,2014,1-0,3-0,4.8,7.4,5.4,8,13
0,1,Home Team,7,0,62,38,63,6,9,11,2,22,13,5,2,6,1,17,20,85,78,11,21,16,12,0,1,0,0,0,1,0,7,2014,4-0,7-0,7,10,3.6,12,16
0,1,Home Team,2,1,50,50,0,4,11,5,4,14,18,5,3,10,5,25,17,82,83,23,29,9,12,4,2,0,0,0,0,1,2,2014,44562,02-Jan,6,6.4,5.7,16,18
0,1,Home Team,2,0,58,42,38,3,5,3,2,7,9,1,2,0,6,18,22,89,84,13,14,16,13,1,1,0,0,0,0,0,2,2014,2-0,2-0,4,6.9,6,3,8
